Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,PS1240P02BT,1,Buzzer,
"C1, C12, C15, C16, C17, C19, C4, C8, C9",0805,9,100n/50V,
C10,0805,1,10n/6.3V,
C11,0805,1,2200p/50V,
"C13, C14, C2",0805,3,1u/50V,
"C20, C5, C6, C7",0805,4,10u/16V,
C3,CP_EIA-7343-31_Kemet-D,1,1500u,
"D1, D13",0805,2,Green,
"D10, D2",0805,2,Red,
"D11, D12",D_SMA,2,S1BB-13-F,
D3,0805,1,Orange,
D4,D_SOD-323,1,B5819WS,
"D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,
D9,1206,1,Blue,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via_edited,4,MountingHole,
IC1,SOT-23-5,1,ME6211C33M5G,
J1,USB_Micro-AB_Molex_47590-0001,1,USB_B_Micro,
"J10, J9",PinSocket_1x11_P2.54mm_Vertical,2,Conn_01x11_Female,
"J11, J12",PinHeader_1x11_P2.54mm_Vertical,2,Conn_01x11_Male,
J2,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
"J3, J4","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
J5,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Female,
J6,OLED,1,OLED,
J7,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Female,
J8,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,
JST1,A2001WR-S-2P_JST2.0,1,JST2.0,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
"Q1, Q8",SOT-23,2,CJ2301,
Q2,SOT-23,1,S8050G,
Q3,TO-220-3_Vertical,1,IRLZ44N,
"Q4, Q5",SOT-23,2,SI2302DS,
Q6,SOT-363_SC-70-6,1,Q_DUAL_NPN_UMH3N,
Q7,SOT-363_SC-70-6,1,Q_DUAL_PNP_BCM857BS,
"R1, R10, R14, R17, R20, R27, R29, R6, R7, R8, R9",0805,11,10k,
"R11, R2, R3, R31, R32",0805,5,330,
"R12, R13, R15",0805,3,1k,
R16,0805,1,1k5,
"R18, R30",0805,2,470,
R19,R_LDR_7x6mm_P5.1mm_Vertical,1,LDR,
"R21, R4",0805,2,243,
"R22, R23, R24, R25, R26, R5",0805,6,2k,
R28,0805,1,47k,
RV1,Potentiometer_Bourns_3386P_Vertical,1,10k,
SD1,MOLEX_47352-1001,1,microSD-MOLEX-473521001,
SW1,SW_SPST_PTS645,1,SW_Push,
"SW10, SW2, SW3, SW4, SW9",SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin,5,SW_x02,
SW11,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_x03,
"SW14, SW15, SW16, SW18, SW5, SW6, SW7, SW8",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,8,SW_x01,
SW17,SW_DIP_SPSTx05_Slide_6.7x14.26mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_x05,
SW19,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_x04,
T1,Alps_SKRHABE010,1,SKRHABE010,
TP1,Touchpad,1,Touchpad,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,
U3,TSOT-23-5,1,TP4054,
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U5,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U6,DIP-4_W7.62mm,1,PC817,
U7,L80-M39,1,L80-M39,
